Date, Open , High , Low , Last ,Ask High,Bid Low
19-05-14,1.2505,1.2515,1.2485,1.2498,1.2521,1.2485
20-05-14,1.2498,1.2536,1.2492,1.2526,1.2542,1.2492
21-05-14,1.2522,1.2539,1.2503,1.2505,1.2544,1.2503
22-05-14,1.2505,1.2533,1.2498,1.2508,1.2538,1.2498
23-05-14,1.251,1.2538,1.2507,1.2527,1.2544,1.2507
26-05-14,1.2522,1.2537,1.2517,1.2533,1.2543,1.2517
27-05-14,1.2529,1.2568,1.2516,1.2565,1.2574,1.2516
28-05-14,1.2559,1.2566,1.2541,1.2556,1.2572,1.2541
29-05-14,1.2559,1.2561,1.2529,1.254,1.2566,1.2529
30-05-14,1.254,1.2556,1.2526,1.2534,1.2563,1.2526
02-06-14,1.2532,1.2569,1.253,1.2563,1.2575,1.253
03-06-14,1.2563,1.2573,1.2551,1.2564,1.2578,1.2551
04-06-14,1.256,1.2587,1.2555,1.2574,1.2593,1.2555
05-06-14,1.2574,1.2579,1.2509,1.2519,1.2586,1.2509
06-06-14,1.2517,1.2534,1.2492,1.2512,1.254,1.2492
09-06-14,1.2512,1.2518,1.2489,1.2496,1.2527,1.2489
10-06-14,1.2495,1.2513,1.2487,1.2496,1.2519,1.2487
11-06-14,1.249,1.2511,1.2488,1.2499,1.2517,1.2488
12-06-14,1.2504,1.2504,1.2466,1.2479,1.2511,1.2466
13-06-14,1.2479,1.251,1.247,1.2503,1.2517,1.247
16-06-14,1.2499,1.2513,1.249,1.2502,1.2519,1.249
17-06-14,1.2505,1.2544,1.2497,1.2529,1.2549,1.2497
18-06-14,1.2531,1.2543,1.248,1.2482,1.2549,1.248
19-06-14,1.2482,1.2503,1.2461,1.2493,1.251,1.2461
20-06-14,1.2494,1.251,1.248,1.2487,1.2516,1.248
23-06-14,1.249,1.25,1.2473,1.2484,1.251,1.2473
24-06-14,1.248,1.2496,1.2474,1.2488,1.2503,1.2474
25-06-14,1.2488,1.2516,1.248,1.2494,1.2522,1.248
26-06-14,1.2494,1.2508,1.2477,1.2485,1.2514,1.2477
27-06-14,1.2485,1.2501,1.2478,1.2495,1.2507,1.2478
30-06-14,1.2481,1.2498,1.2458,1.2462,1.2503,1.2458
01-07-14,1.2462,1.2477,1.2447,1.2457,1.2483,1.2447
02-07-14,1.2452,1.2477,1.2447,1.247,1.2485,1.2447
03-07-14,1.2471,1.2495,1.2453,1.2465,1.2501,1.2453
04-07-14,1.2468,1.2479,1.2444,1.2459,1.2485,1.2444
07-07-14,1.2456,1.2475,1.2449,1.2467,1.2481,1.2449
08-07-14,1.2462,1.2468,1.2415,1.2425,1.2475,1.2415
09-07-14,1.2433,1.2437,1.2401,1.2409,1.2444,1.2401
10-07-14,1.2414,1.2434,1.239,1.2414,1.244,1.239
11-07-14,1.2409,1.243,1.2398,1.2406,1.2435,1.2398
14-07-14,1.2403,1.242,1.2385,1.2415,1.2425,1.2385
15-07-14,1.2412,1.2443,1.24,1.243,1.2448,1.24
16-07-14,1.2431,1.2446,1.2412,1.2419,1.2452,1.2412
17-07-14,1.2423,1.2438,1.24,1.2437,1.2445,1.24
18-07-14,1.2432,1.2442,1.24,1.2408,1.2448,1.24
21-07-14,1.2404,1.2419,1.2387,1.2395,1.2424,1.2387
22-07-14,1.2396,1.2415,1.2385,1.2393,1.2421,1.2385
23-07-14,1.2393,1.2402,1.2359,1.2362,1.2408,1.2359
24-07-14,1.2365,1.2412,1.2361,1.2411,1.2419,1.2361
25-07-14,1.2406,1.2421,1.2391,1.2416,1.2427,1.2391
28-07-14,1.2412,1.2425,1.2399,1.2412,1.2431,1.2399
29-07-14,1.2412,1.2431,1.2405,1.2424,1.2437,1.2405
30-07-14,1.2424,1.2463,1.2411,1.2439,1.2468,1.2411
31-07-14,1.2437,1.2482,1.2434,1.2477,1.2488,1.2434
01-08-14,1.247,1.2496,1.2449,1.2464,1.2502,1.2449
04-08-14,1.2468,1.2474,1.2451,1.2453,1.2482,1.2451
05-08-14,1.246,1.2493,1.2436,1.2473,1.2499,1.2436
06-08-14,1.2471,1.2514,1.2466,1.2478,1.2519,1.2466
07-08-14,1.2484,1.2525,1.2469,1.2517,1.253,1.2469
08-08-14,1.2522,1.2551,1.2499,1.2518,1.2557,1.2499
11-08-14,1.2513,1.2515,1.2483,1.2501,1.2527,1.2483
12-08-14,1.2496,1.2513,1.2482,1.25,1.252,1.2482
13-08-14,1.2505,1.2511,1.2475,1.249,1.2517,1.2475
14-08-14,1.249,1.2496,1.2439,1.2463,1.2501,1.2439
15-08-14,1.2457,1.2465,1.2427,1.2447,1.2471,1.2427
18-08-14,1.2446,1.2457,1.2432,1.2448,1.2463,1.2432
19-08-14,1.2441,1.2474,1.243,1.2473,1.248,1.243
20-08-14,1.2468,1.2519,1.2459,1.2507,1.2525,1.2459
21-08-14,1.2507,1.2527,1.2484,1.2489,1.2532,1.2484
22-08-14,1.2495,1.2497,1.2467,1.2488,1.2505,1.2467
25-08-14,1.2493,1.2518,1.2479,1.2493,1.2524,1.2479
